"name","asset_tag","serial_number","location.city","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement","u_last_rounded_date","u_device_rounding","u_department_location"
"LD085686","HSS-1044812","BCV2QV3","Nanaimo","VIHA-NER-Nanaimo Estevan Road-Main Building-2nd Floor","Main","","2","REQ1148242-RITM1208940-SCTASK1953057","12/31/2027","01/28/2024","General Rounding","Finance"
"AO005685","HSS-1904734","C24C27M017","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","DMND0005174","04/30/2029","","",""
"LD048215","HSS-8092894","82WHX64","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","ISLHTRP20250407-015","03/31/2029","","","Geog 1/2 Pharmacy & Pharm LTC"
"LD058048","HSS-8094676","DBTN774","Duncan","VIHA-CLRC-Cowichan Lodge-Main Building-1st Floor","","","","ISLHTRP20250728-046","07/31/2029","","","Cowich Vall MHSU Adm Supp"
"TD030119","HSS-8067959","D4NBLR3","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","","","","VIHATRP20221024-090","","","",""
"LD074761","HSS-1904980","G0W1WH3","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","12/31/2028","","",""
"PC074180","HSS-1904937","14BCQ54","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","","","","DMND0005167","03/31/2029","","",""
"LD074762","HSS-1904981","DCR2WH3","Nanaimo","VIHA-CNUPCC-Central Nanaimo Urgent Primary Care Centre-Main Building","Main","","1","DMND0005167","12/31/2028","10/24/2025","General Rounding","Urgent Care"
"LD071197","HSS-1032359","DDW02J3","Nanaimo","VIHA-NHC-Nanaimo Health Centre","","","","REQ0470771-RITM0493707-SCTASK0796049","04/30/2026","","General Rounding",""
"LD025339","HSS-8083627","3NY69W3","Nanaimo","VIHA-NSFC-Nanaimo Seafield Crescent-Main Building-1st Floor","","","","VIHATRP20240219-014","03/31/2028","","General Rounding",""
"LD044472","HSS-8091759","JY5F2T2","Parksville","VIHA-OHC-Oceanside Health Centre-Main Building-2nd Floor","Main Building","","2nd Floor","VIHATRP20250106-007","12/31/2028","","General Rounding","Oceanside Community Health Svc"
"PC107053","HSS-8092284","74BCQ54","Nanaimo","VIHA-NRGH-Nanaimo Regional General Hospital","","","","REQ1829817-RITM1931192-SCTASK3095188","02/28/2029","","",""
"LD058982","HSS-1029080","2GZ48C3","Nanaimo","VIHA-BCN-Bowen Center Nanaimo-Main Building","","","","REQ0323270-RITM0338487-SCTASK0520944","11/30/2025","","General Rounding",""
