City,Location,Building,Floor,Room
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Bone Marrow Density (Procedure Room)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Harbourside (Nurse Station)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Laboratory (Core Lab)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Laboratory (Reception)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M02 (Harbourside Unit Clerk's Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M03 (Harbourside Conference Room)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M04 (Social Work Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M16 (Manager)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M16a (CNL Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M17 (Swing Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M18 (Education Room)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,M27 (Activities Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Ocean Point (Nurse Station)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Physiotherapy (Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Physiotherapy (Treatment Room)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Processing Room (Bone Marrow Density)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Reception (Main Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Urgent Care (Dictation Room)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Urgent Care (Hallway)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Urgent Care (Physician Desk)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Urgent Care (Physician Desk)(724)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Urgent Care (Physician Filing Room)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,Urgent Care (Reception Desk)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,X-Ray (Nurse Station)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor,Main Building,1,X-Ray (Procedure Room)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1,Main Building,1,L146 (Food Service Supervisor)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1,Main Building,G,L132 (Maintenance)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1,Main Building,G,L133 (Housekeeping Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1,Main Building,G,L137 (Adult Day Program Office)
Chemainus,VIHA-CHCC-Chemainus Health Care Centre-Main Building-Basement 1,Main Building,G,L140 (Boardroom)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,101 (Anesthesia Clinic through Rm 103)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1014 (Echo Lab)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1017 (OR Purchasing Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1018 (Back Area)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1018 (Health Records)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1020 (Health Records)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1021 (Dictation Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1022 (Booking Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1023A (Radiology)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1023B (Radiology)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1025 (Boardroom) Brenda Stager
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1025 (EDU Floater)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1025 (Surgical Services)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1026 (OR Booking)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1034 (Switchboard)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1038 (Staff Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1039 (Reception)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1039 (Rehab Area)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1039 (Side Office - Mobile)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Accessions)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Back Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Blood Bank)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Core Care)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)(Collection Cart #1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)(Collection Cart #2)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)(Collection Cart #3)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)(Collection Cart #4)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)(Collection Cart #5)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)(Collection Cart #6)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Hallway)(Collection Cart #7)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Lab Core)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1045 (Outside Core Care)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1046 (Reception)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1050 (Chief Technologist)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1052 (MDRD Decontamination)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1058 (Doctor's Lounge)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1060 (Doctor's On-Call Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1066B (CT supervisors Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1067 (Cubby)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1068 (PACU)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1069 (Ophthalmology OR)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1078 (Clean Utility Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1080 (Cataract Clinic)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1081 (Radiologist)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1083 (CT Tech Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1083 (Outside CT Tech Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1088 (Mammography Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1091 (Reception)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1092 (Medical Imaging Booking)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1093 (Breast Imaging Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1095 (X-Ray Tech Room 1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1096 (X-Ray Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1098 (X-Ray Tech Room 3)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1099 (X-Ray Tech Room 2)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1102 (Pre-Admissions)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1103 (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1104 (Inside Ortho)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1104 (Ultrasound Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1105 (Ultrasound Room 1)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1107 (Manager Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1109 (Reception)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1109 (Ultrasound Tech Room 3/4)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1110 (Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1111 (Ultrasound Office)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1113 (CRT Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1117 (Trauma Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1118A (Tyler Smith)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1118B (Education Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1127 (ECG)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Fast Track Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Hallway)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Med Room)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Nurse Station)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Outside Trauma - Lab Machine)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Physicians Station - Back Wall)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Physicians Station - Standing)
Duncan,VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor,Main Building,1,1128 (Physicians Station)
