"u_parent_asset","name","asset_tag","serial_number","location","u_building","u_room","u_floor","po_number","u_scheduled_retirement"
"PC065083","MJ025QYE","","CNK4440PPK","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","MRI Reading","1","",""
"PC035186","11KBTF3","","11KBTF3","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","Main Building","OR 2","2","INC2541393","08/31/2022"
"PC031853","7JFJRH3 MONITOR P2421D","","7JFJRH3","VIHA-CDH-Cowichan District Hospital-Main Building-4th Floor","Main Building","4037 (Nurse Station)","","164448",""
"PC032167","PC032167","","C7JTVP3","VIHA-CDH-Cowichan District Hospital-Main Building-Basement 1","Main Building","G101 (Pharmacy - Front)","G","INC2442423","06/30/2030"
"LD085713","HSS-1044818","","GJGLTY3","VIHA-RCO-Regional Corporate Office-Main Building-2nd Floor","Main","Reception","B","216790","01/31/2032"
"PC066006","MJ025GTE","","1890334065","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1088 (Mammography Office)","1","",""
"LD101504","JGP5VZ3 P2423D","","JGP5VZ3","VIHA-NRGH-Nanaimo Regional General Hospital","","","","222970","03/31/2032"
"PC066004","PC066004","","CNK3350DYF","VIHA-LMH-Lady Minto Hospital-Main Building-1st Floor","Main Building","134 (Medical Imaging)","","",""
"LD065807","LD021229","","D4LMQS017500","VIHA-NWRD-Nanaimo Waddington Road-Integrated Primary & Community Care","","13","","",""
"PC030738","PC030738","","CNT333W0HP","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Chief Radiologist - adjacent to 1196","","",""
"LD023248","LD023248","","H4ZN100337","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-Basement 1","Main Building","FMO Trailer, Manager’s office","Basement 1","",""
"PC066038","MJ025QYG","","CNK6170L3Q","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main","PACS Admin","1","",""
"PC066039","MJ025QYD","","CNK51404SM","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","PACS Admin","1","",""
"LD068731","LD068731","","CNK620164F","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","Xray department WFH","1","",""
"PC065084","MJ025GTL","","CNK4240LKX","VIHA-NRGH-Nanaimo Regional General Hospital","Main","Nick's","","",""
"PC049852","MJ025QZ0","","CNK4310T5R","VIHA-CHCC-Chemainus Health Care Centre-Main Building-1st Floor","Main Building","X-Ray (Bone Marrow Density Procedure Room)","1","",""
"PC049820","6JJPQT3","","6JJPQT3","VIHA-OHC-Oceanside Health Centre-Main Building","Main Building","OHC self check-in kiosk (Main Entrance)","1","INC2777161","05/31/2031"
"","C23621M001","","C23621M001","VIHA-CDT-Communicable Disease & Travel","","","","DEMO -Q503657 24"" Med Display",""
"PC066044","MJ026M8Z","","CNK6170L3P","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor","Main Building","Chief Radiologist - adjacent to 1196","","",""
"PC066006","MJ025GTE","","1890334064","VIHA-CDH-Cowichan District Hospital-Main Building-1st Floor","Main Building","1088 (Mammography Office)","1","",""
