10.32.8.0/23,RJH BH250 Green,
10.32.16.0/23,RJH BH317 Green,
10.32.32.0/23,RJH VICC Green,
10.32.40.0/23,RJH CA150 Green,
10.32.48.0/23,RJH CA227 Green,
10.32.56.0/23,RJH RB221 Green,
10.32.64.0/23,RJH DT015A Green,
10.32.72.0/23,RJH DT2404 Green,
10.32.80.0/23,RJH DT2604 Green,
10.32.88.0/23,RJH DT2752 Green,
10.32.112.0/23,RJH EMP147 Green,
10.32.120.0/23,RJH EMP170 Green,
10.32.128.0/23,RJH EMP433 Green,
10.32.136.0/23,RJH RB352 Green,
10.32.152.0/23,RJH RB008 Green,
10.32.160.0/23,RJH RB17B Green,
10.32.168.0/23,RJH RB101 Green,
10.32.176.0/23,RJH RIXFORD Green,
10.32.184.0/23,RJH RP003 Green,
10.32.192.0/23,RJH EMP212B Green,
10.32.200.0/23,RJH RP218 Green,
10.32.208.0/23,RJH WB202 Green,
10.32.216.0/23,RJH WL004 Green,
10.32.224.0/23,RJH WW003 Green,
10.32.232.0/23,RJH WW302 Green,
10.32.248.0/23,RJH DT0111 Green,
10.33.0.0/23,RJH FS109 Green,
10.33.16.0/23,RJH WLC Green,
10.33.24.0/23,RJH PL011 Green,
10.33.48.0/23,JH KW103 ISE Test Green,
10.33.80.0/23,RJH PCC N208 Green,
10.33.88.0/23,RJH PCC N308 Green,
10.33.96.0/23,RJH PCC N408 Green,
10.33.104.0/23,RJH PCC N508 Green,
10.33.112.0/23,RJH PCC N608 Green,
10.33.120.0/23,RJH PCC N708 Green,
10.33.128.0/23,RJH PCC N808 Green,
10.33.152.0/23,RJH PCC S308 Green,
10.33.160.0/23,RJH PCC S408 Green,
10.33.168.0/23,RJH PCC S508 Green,
10.33.176.0/23,RJH PCC S608 Green,
10.33.184.0/23,RJH PCC S708 Green,
10.33.192.0/23,RJH PCC S808 Green,
10.33.216.0/23,RJH PS302 Green,
10.33.232.0/23,RJH WW003 Test Green,
10.34.0.0/23,QAC Core Green,
10.34.8.0/23,QAC 1A Green,
10.34.16.0/23,QAC 1B Green,
10.34.24.0/23,QAC 1C Green,
10.34.32.0/23,QAC P1A Green,
10.34.40.0/23,QAC P1B Green,
10.34.48.0/23,QAC L1A Green,
10.34.56.0/23,QAC L1B Green,
10.34.64.0/23,QAC F1A Green,
10.34.72.0/23,QAC 2B Green,
10.34.80.0/23,QAC Headend Green,
10.34.88.0/23,QAC Foundation Green,
10.34.128.0/23,VGH S223 Green,
10.34.152.0/23,VGH Laundry Green,
10.34.168.0/23,VGH S390 Green,
10.34.176.0/23,VGH 1901 Green,
10.34.184.0/23,VGH 3011 Green,
10.34.192.0/23,VGH WLC Green,
10.34.200.0/23,VGH Core Green,
10.34.216.0/23,VGH 2200 Green,
10.34.224.0/23,VGH 1831 Green,
10.34.232.0/23,VGH 1107 Green,
10.34.240.0/23,VGH 3003 Green,
10.34.248.0/23,VGH N590 Green,
10.35.0.0/23,SHU A Green,
10.35.8.0/23,SHU B Green,
10.35.16.0/23,SPH F Green,
10.35.24.0/23,SPH D Green,
10.35.32.0/23,SPH E Green,
10.35.40.0/23,SPH PHU Green,
10.35.48.0/23,SPH Core Green,
10.35.56.0/23,SPH G Green,
10.35.64.0/23,ABER Headend Green,
10.35.72.0/23,ABER N319 Green,
10.35.80.0/23,ABER C216 Green,
10.35.88.0/23,ABER C116 Green,
10.35.96.0/23,ABER S015 Green,
10.35.104.0/23,ABER HAA Green,
